ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease,prev_label_malicious,static_size_prev_uncompressed_bytes,static_size_curr_uncompressed_bytes,static_size_delta_vs_prev,static_size_ratio_vs_prev,ratio_static_size_uncompressed_bytes,delta_pypi_size_bytes,ratio_pypi_size_bytes,delta_npm_unpacked_size_bytes,ratio_npm_unpacked_size_bytes,delta_npm_file_count,ratio_npm_file_count,delta_entropy_ratio_size,ratio_entropy_ratio_size,delta_entropy_indicator,ratio_entropy_indicator
npm,@accordproject/concerto-metamodel,3.12.4-20250801113513,3.12.5-20250801113804,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,193491.0,193491.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@accordproject/concerto-types,3.22.1-20250825143753,3.23.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0,,55176.0,55131.0,-45.0,0.9991844280121792,0.9991844280121792,,,-45.0,0.9991844280121792,0.0,1.0,-1.451612903225623,0.9991844280121793,0.0,
npm,@accordproject/concerto-types,3.23.0,3.23.1-20250827125749,0,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,,55131.0,55176.0,45.0,1.0008162376884149,1.0008162376884149,,,45.0,1.0008162376884149,0.0,1.0,1.451612903225623,1.0008162376884147,0.0,
npm,@accordproject/concerto-types,3.23.1-20250827125749,3.24.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0,,55176.0,55131.0,-45.0,0.9991844280121792,0.9991844280121792,,,-45.0,0.9991844280121792,0.0,1.0,-1.451612903225623,0.9991844280121793,0.0,
npm,@accordproject/concerto-types,3.24.0,3.24.1-20250827130031,1,,,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,,55131.0,55176.0,45.0,1.0008162376884149,1.0008162376884149,,,45.0,1.0008162376884149,0.0,1.0,1.451612903225623,1.0008162376884147,0.0,
npm,@amagioss/js-timecode,0.0.1-security,1.3.7,1,,,-10.0,,,,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0,,452.0,1850.0,1398.0,4.092920353982301,4.092920353982301,,,1398.0,4.092920353982301,0.0,1.0,699.0,4.092920353982301,0.0,
npm,@aoflmkt/form-validators,0.0.1-security,100.100.106,1,,,-1.0,,,,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0,,458.0,622.0,164.0,1.3580786026200873,1.3580786026200873,,,164.0,1.3580786026200873,1.0,1.5,-21.666666666666657,0.9053857350800583,0.0,
npm,@aoflmkt/is-webp-qualified,0.0.1-security,100.100.106,1,,,-1.0,,,,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0,,462.0,630.0,168.0,1.3636363636363635,1.3636363636363635,,,168.0,1.3636363636363635,1.0,1.5,-21.0,0.9090909090909091,0.0,
npm,@asyncapi/modelina,5.1.0,5.1.1,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3311014.0,3311030.0,16.0,1.0000048323564925,1.0000048323564925,,,16.0,1.0000048323564925,0.0,1.0,0.00884466556112784,1.0000048323564927,0.0,
npm,@asyncapi/modelina,5.1.1,5.10.0,0,,,11.0,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,3311030.0,3491253.0,180223.0,1.0544310984799292,1.0544310984799292,,,180223.0,1.0544310984799292,30.0,1.0165837479270314,68.14231272493794,1.0372299386352322,0.0,
